id_materie,materie,an,semestru,specializarea,departament
335,Software engineering fundamentals,2,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
336,Computer organization,2,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
337,Operating systems,2,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
338,Computer networks,2,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
339,Culture and civilization,2,2,CTI-ENG,Comunicare si Limbi Straine
340,Digital Signal Processing,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
341,Compilation Techniques,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
342,Introduction to IoT and Cloud Architectures,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
343,Database Design,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
344,Computer graphics,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
345,Data Mining,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
346,Embedded Systems,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
347,Complexity and Computability,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
348,Design and Architecture of Complex Software Systems,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
349,Distributed Programming,3,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
350,Microeconomics,3,2,CTI-ENG,Management
351,Reconfigurable Computing,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
352,Computer Systems Reliability,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
353,Expert Systems,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
354,Software Project Management,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
355,Multimedia Systems,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
356,Fuzzy Logic and Applications,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
357,Distributed Programming,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
358,Entrepreneurship in IT,4,2,CTI-ENG,Calculatoare si Tehnologia Informatiei
359,Integrated Information Systems,1,2,MIT,Calculatoare si Tehnologia Informatiei
360,Optic Fiber Transmissions,1,2,MIT,Calculatoare si Tehnologia Informatiei
361,Emergent and Collective Intelligence Systems,1,2,MIT,Calculatoare si Tehnologia Informatiei
